1533886081.0808,192.168.0.104,46062,88.221.214.42,80,tcp,0.008459,0,0,SF,2,104,1,52,normal
1533886081.08076,192.168.0.104,46060,88.221.214.42,80,tcp,0.009027,0,0,SF,2,104,1,52,normal
1533886088.59674,192.168.0.104,52156,104.17.211.204,443,tcp,0.000575,0,77,SF,4,160,4,237,normal
1533886088.7407,192.168.0.104,59584,104.16.253.5,443,tcp,0.000344,0,63,SF,2,80,4,223,normal
1533886088.88044,192.168.0.104,41848,104.16.251.5,443,tcp,0.000861,0,63,SF,5,200,4,223,normal
1533886093.48365,192.168.0.104,51070,104.16.119.145,443,tcp,0.000536,0,77,SF,4,160,4,237,normal
1533886097.13123,192.168.0.104,53790,104.16.118.145,443,tcp,0.000363,0,77,SF,4,172,5,277,normal
1533886072.7205,192.168.0.104,39369,192.168.0.1,53,udp,19.386978,1025,1838,SF,27,1781,27,2594,normal
1533886091.9486,192.168.0.104,51486,157.240.20.15,443,tcp,12.03564,2169,3922,SF,26,3529,23,5126,normal
1533886073.06667,192.168.0.104,37930,34.204.234.216,443,tcp,8.404487,430,357,OTH,4,638,4,565,normal
1533886088.41572,192.168.0.104,58392,157.240.20.35,443,tcp,0.891665,1166,4589,S1,14,1914,12,5295,normal
1533886088.52728,192.168.0.104,58192,157.240.20.19,443,tcp,13.267382,13508,2852052,S1,617,48468,619,2884248,normal
1533886062.51427,192.168.0.104,49318,104.244.46.135,443,tcp,45.071673,1,0,OTH,2,104,2,104,normal
1533886068.65857,192.168.0.104,40244,151.101.113.2,443,tcp,0.012117,1,0,OTH,1,52,1,52,normal
1533886072.72907,192.168.0.104,41354,192.0.76.3,80,tcp,0.095215,619,215,S1,5,839,4,387,normal
1533886078.8983,192.168.0.104,50660,172.217.19.67,443,tcp,0.0116,1,0,OTH,1,52,1,52,normal
1533886101.42629,192.168.0.104,52634,151.101.114.49,443,tcp,0.008365,1,0,OTH,1,52,1,52,normal
1533886099.37827,192.168.0.104,51434,104.16.120.127,443,tcp,0.012596,1,0,OTH,1,40,1,40,normal
1533886074.80262,192.168.0.104,38302,104.25.218.100,443,tcp,0.011674,1,0,OTH,1,40,1,40,normal
1533886092.10771,192.168.0.104,51488,157.240.20.15,443,tcp,11.904157,32693,11773,S1,59,35769,37,13705,normal
1533886066.61046,192.168.0.104,48366,104.244.42.136,443,tcp,0.011365,1,0,OTH,1,52,1,52,normal
1533886089.17572,192.168.0.104,55554,157.240.20.16,443,tcp,11.902556,7401,1170513,S1,276,23897,292,1185779,normal
1533886088.42703,192.168.0.104,33048,31.13.92.14,443,tcp,0.080837,581,3507,S1,6,913,6,3901,normal
1533886097.33022,192.168.0.104,37286,151.101.113.140,443,tcp,0.008213,1,0,OTH,1,52,1,52,normal
1533886070.70632,192.168.0.104,38272,104.25.218.100,443,tcp,39.232213,1,63,SF,6,264,7,406,normal
1533886088.41582,192.168.0.104,58186,157.240.20.19,443,tcp,12.727787,17540,1017506,S1,363,36436,384,1037556,normal
1533886093.23427,192.168.0.104,57384,165.227.75.40,443,tcp,0.092832,1,0,OTH,1,52,1,52,normal
1533886081.08092,192.168.0.104,53948,107.170.249.202,80,tcp,25.26707,1134,512,OTH,7,1498,6,824,normal
1533886078.89827,192.168.0.104,51556,104.16.120.127,443,tcp,0.01196,1,0,OTH,1,40,1,40,normal
1533886073.06674,192.168.0.104,50136,34.195.235.212,443,tcp,8.404383,430,357,OTH,4,638,4,565,normal
1533886088.42855,192.168.0.104,33050,31.13.92.14,443,tcp,0.083818,581,3506,S1,8,1017,8,4004,normal
1533886066.65449,192.168.0.104,59628,52.5.181.79,443,tcp,0.096017,1,0,OTH,1,52,1,52,normal
1533886070.7505,192.168.0.104,45938,184.72.247.8,443,tcp,0.10124,1,0,OTH,1,52,1,52,normal
1533886074.80266,192.168.0.104,50738,23.60.194.198,443,tcp,0.011608,1,0,OTH,1,52,1,52,normal
1533886082.99425,192.168.0.104,33018,23.60.198.210,443,tcp,12.3532,419,23,OTH,1,52,0,0,normal
1533886104.27642,192.168.0.104,54506,107.170.249.202,80,tcp,0.43275,1156,558,S1,5,1424,4,774,normal
1533886068.6586,192.168.0.104,54912,104.17.79.191,443,tcp,38.517052,1,63,SF,5,212,6,303,normal
1533886088.41555,192.168.0.104,56390,157.240.20.38,443,tcp,15.552972,78476,617518,S1,330,95776,370,638148,normal
1533886070.70629,192.168.0.104,46670,108.177.127.188,5228,tcp,0.021199,1,0,OTH,1,52,1,52,normal
1533886087.6789,192.168.0.104,57570,172.217.19.65,443,udp,0.193897,1849,4409,SF,7,2045,6,4577,normal
1533886087.69361,192.168.0.104,42748,172.217.19.67,443,udp,0.065853,1417,1401,SF,3,1501,3,1485,normal
1533886087.69109,192.168.0.104,47591,172.217.19.78,443,udp,1.137784,3821,5243,SF,9,4073,9,5495,normal
1533886087.69249,192.168.0.104,54334,172.217.22.36,443,udp,15.182266,3970,16816,SF,19,4502,23,17460,normal
1533886087.70953,192.168.0.104,50188,172.217.19.67,443,udp,0.060572,1445,1401,SF,4,1557,3,1485,normal
1533886087.67709,192.168.0.104,49422,172.217.22.35,443,udp,17.189043,4869,67814,SF,45,6129,72,69830,normal
1533886087.68057,192.168.0.104,43848,172.217.19.67,443,udp,0.062213,1417,1401,SF,3,1501,3,1485,normal
1533886087.69236,192.168.0.104,43250,172.217.22.36,443,udp,0.076688,1445,1401,SF,4,1557,3,1485,normal
1533886071.27555,192.168.0.104,41561,172.217.19.78,443,udp,36.064775,7228,3053,SF,12,7564,20,3613,normal
1533886087.65787,192.168.0.104,38044,172.217.19.74,443,udp,13.224657,5182,3038,SF,14,5574,14,3430,normal
1533886081.0808,192.168.0.104,46062,88.221.214.42,80,tcp,0.008459,0,0,SF,2,104,1,52,normal
1533886081.08076,192.168.0.104,46060,88.221.214.42,80,tcp,0.009027,0,0,SF,2,104,1,52,normal
1533886088.59674,192.168.0.104,52156,104.17.211.204,443,tcp,0.000575,0,77,SF,4,160,4,237,normal
1533886088.7407,192.168.0.104,59584,104.16.253.5,443,tcp,0.000344,0,63,SF,2,80,4,223,normal
